,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
457435,202016601,3301,VERBAL DISPUTE,C11,382,0,2/29/2020 23:45,2020,2,Saturday,23,MYRTLEBANK AVE,42.281739,-71.053691,"(42.28173900, -71.05369100)"
464416,202009017,3410,TOWED MOTOR VEHICLE,C6,224,0,2/3/2020 7:15,2020,2,Monday,7,P ST,42.337046,-71.027212,"(42.33704600, -71.02721200)"
436567,202038956,801,ASSAULT - SIMPLE,B2,326,0,6/4/2020 17:27,2020,6,Thursday,17,DUNKELD ST,42.312777,-71.075629,"(42.31277700, -71.07562900)"
436427,202039103,3126,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,A15,41,0,6/4/2020 19:15,2020,6,Thursday,19,VINE ST,42.376631,-71.055931,"(42.37663100, -71.05593100)"
455308,202018890,3301,VERBAL DISPUTE,B2,263,0,3/9/2020 8:59,2020,3,Monday,8,DENNIS ST,42.323019,-71.074814,"(42.32301900, -71.07481400)"
432557,202043283,423,ASSAULT - AGGRAVATED,B3,465,0,6/20/2020 20:17,2020,6,Saturday,20,HANSBOROUGH ST,42.288103,-71.091533,"(42.28810300, -71.09153300)"
457756,202016265,613,LARCENY SHOPLIFTING,D4,146,0,2/28/2020 19:27,2020,2,Friday,19,HUNTINGTON AVE,42.347972,-71.078495,"(42.34797200, -71.07849500)"
432985,202042819,3207,PROPERTY - FOUND,E5,691,0,6/19/2020 7:45,2020,6,Friday,7,CENTRE ST,42.287093,-71.148221,"(42.28709300, -71.14822100)"
472111,202000651,3114,INVESTIGATE PROPERTY,C11,355,0,1/3/2020 13:01,2020,1,Friday,13,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
441951,202033155,3115,INVESTIGATE PERSON,A7,22,0,5/13/2020 10:51,2020,5,Wednesday,10,HAVRE ST,42.374951,-71.035879,"(42.37495100, -71.03587900)"
452689,202021704,3007,SUDDEN DEATH,E13,610,0,3/20/2020 9:46,2020,3,Friday,9,PERKINS ST,42.321017,-71.116192,"(42.32101700, -71.11619200)"
432585,202043254,801,ASSAULT - SIMPLE,B3,465,0,6/20/2020 16:00,2020,6,Saturday,16,WILCOCK ST,42.286889,-71.092229,"(42.28688900, -71.09222900)"
434931,202040713,3126,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,B2,263,0,6/16/2020 6:00,2020,6,Tuesday,6,BROOK AVE,42.322572,-71.073575,"(42.32257200, -71.07357500)"
465872,202007440,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,282,0,1/25/2020 19:30,2020,1,Saturday,19,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
437655,202037777,724,AUTO THEFT,A15,41,0,5/31/2020 20:00,2020,5,Sunday,20,VINE ST,42.376631,-71.055931,"(42.37663100, -71.05593100)"
466391,202006872,3005,SICK ASSIST,D4,619,0,1/26/2020 11:32,2020,1,Sunday,11,GAINSBOROUGH ST,42.342599,-71.090035,"(42.34259900, -71.09003500)"
462941,202010610,520,BURGLARY - RESIDENTIAL,E5,667,0,2/8/2020 11:25,2020,2,Saturday,11,CONWAY ST,42.288325,-71.129933,"(42.28832500, -71.12993300)"
456665,202017432,801,ASSAULT - SIMPLE,D4,165,0,3/3/2020 6:25,2020,3,Tuesday,6,HARRISON AVE,42.343297,-71.064581,"(42.34329700, -71.06458100)"
458440,202015506,3502,MISSING PERSON - LOCATED,E18,493,0,2/25/2020 7:24,2020,2,Tuesday,7,LEXINGTON AVE,42.26255,-71.115822,"(42.26255000, -71.11582200)"
430511,202045479,2647,THREATS TO DO BODILY HARM,C11,355,0,6/28/2020 16:55,2020,6,Sunday,16,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
459662,202014186,1102,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2/8/2020 17:00,2020,2,Saturday,17,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
457749,202016273,3301,VERBAL DISPUTE,B2,585,0,2/28/2020 20:15,2020,2,Friday,20,PARKER HILL AVE,42.329474,-71.10442,"(42.32947400, -71.10442000)"
438826,202036517,3502,MISSING PERSON - LOCATED,B3,465,0,5/25/2020 9:45,2020,5,Monday,9,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
434131,202041593,801,ASSAULT - SIMPLE,B3,433,0,6/14/2020 16:30,2020,6,Sunday,16,CROWELL ST,42.282973,-71.08194,"(42.28297300, -71.08194000)"
431652,202044259,617,LARCENY THEFT FROM BUILDING,B3,441,0,6/24/2020 7:26,2020,6,Wednesday,7,NIGHTINGALE ST,42.294743,-71.085037,"(42.29474300, -71.08503700)"
440333,202034903,3115,INVESTIGATE PERSON,B3,465,0,5/20/2020 18:58,2020,5,Wednesday,18,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
454967,202019267,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,3/10/2020 12:45,2020,3,Tuesday,12,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
463631,202009870,2403,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,C11,341,0,2/5/2020 17:58,2020,2,Wednesday,17,BOWDOIN ST,42.305739,-71.067623,"(42.30573900, -71.06762300)"
447181,202027577,616,LARCENY THEFT OF BICYCLE,D4,168,0,4/15/2020 12:00,2020,4,Wednesday,12,RUTLAND ST,42.338826,-71.074792,"(42.33882600, -71.07479200)"
459963,202013869,3005,SICK ASSIST,B3,422,0,2/20/2020 10:03,2020,2,Thursday,10,RIVER ST,42.271323,-71.081835,"(42.27132300, -71.08183500)"
450021,202024558,3803,M/V ACCIDENT - PERSONAL INJURY,D4,157,0,4/2/2020 11:42,2020,4,Thursday,11,W NEWTON ST,42.340636,-71.075722,"(42.34063600, -71.07572200)"
471973,202000798,617,LARCENY THEFT FROM BUILDING,A1,77,0,1/3/2020 16:00,2020,1,Friday,16,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
437095,202038379,3301,VERBAL DISPUTE,B3,435,0,6/2/2020 16:53,2020,6,Tuesday,16,CLARIDGE TER,42.287799,-71.075741,"(42.28779900, -71.07574100)"
444750,202030164,616,LARCENY THEFT OF BICYCLE,D4,162,0,4/17/2020 17:00,2020,4,Friday,17,TRAVELER ST,42.344237,-71.062964,"(42.34423700, -71.06296400)"
430230,202045779,724,AUTO THEFT,B2,309,0,6/29/2020 21:07,2020,6,Monday,21,MARTIN LUTHER KING JR BLVD,42.318601,-71.084057,"(42.31860100, -71.08405700)"
433400,202042372,1102,FRAUD - FALSE PRETENSE / SCHEME,B3,465,0,6/15/2020 9:00,2020,6,Monday,9,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
449606,202024998,2662,BALLISTICS EVIDENCE/FOUND,B2,323,1,4/4/2020 14:34,2020,4,Saturday,14,HOLBORN ST,42.315053,-71.082233,"(42.31505300, -71.08223300)"
470179,202002748,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,477,0,1/11/2020 8:50,2020,1,Saturday,8,HARVARD ST,42.276086,-71.108341,"(42.27608600, -71.10834100)"
436213,202039327,3018,SICK/INJURED/MEDICAL - POLICE,E13,574,0,6/6/2020 2:25,2020,6,Saturday,2,WASHINGTON ST,42.309718,-71.104294,"(42.30971800, -71.10429400)"
470737,202002145,423,ASSAULT - AGGRAVATED,D4,167,0,1/6/2020 20:00,2020,1,Monday,20,HARRISON AVE,42.339541,-71.069408,"(42.33954100, -71.06940800)"
472635,202000081,3301,VERBAL DISPUTE,D14,750,0,1/1/2020 6:29,2020,1,Wednesday,6,FOSTER ST,42.344323,-71.157783,"(42.34432300, -71.15778300)"
448991,202025649,3005,SICK ASSIST,E5,695,0,4/7/2020 20:38,2020,4,Tuesday,20,HODGDON TER,42.289679,-71.156956,"(42.28967900, -71.15695600)"
447223,202027535,3501,MISSING PERSON,B2,281,0,4/16/2020 22:24,2020,4,Thursday,22,GREENVILLE ST,42.326967,-71.080519,"(42.32696700, -71.08051900)"
446023,202028800,3201,PROPERTY - LOST/ MISSING,C11,355,0,4/23/2020 11:20,2020,4,Thursday,11,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
443042,202031993,3005,SICK ASSIST,D14,804,0,5/7/2020 21:16,2020,5,Thursday,21,EVERETT ST,42.354972,-71.138651,"(42.35497200, -71.13865100)"
454553,202019710,3111,LICENSE PREMISE VIOLATION,D4,618,0,3/11/2020 22:28,2020,3,Wednesday,22,HUNTINGTON AVE,42.340915,-71.087715,"(42.34091500, -71.08771500)"
471148,202001706,2670,HARASSMENT/ CRIMINAL HARASSMENT,B2,265,0,1/1/2020 0:00,2020,1,Wednesday,0,CLIFFORD ST,42.319854,-71.079725,"(42.31985400, -71.07972500)"
437706,202037721,3108,FIRE REPORT,B2,320,0,5/31/2020 16:01,2020,5,Sunday,16,GEORGIA ST,42.31039,-71.085302,"(42.31039000, -71.08530200)"
452134,202022289,3006,SICK/INJURED/MEDICAL - PERSON,C6,200,0,3/23/2020 0:15,2020,3,Monday,0,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
443642,202031347,241,SEX OFFENSE - RAPE - FORCIBLE,E18,480,0,5/4/2020 21:58,2020,5,Monday,21,CUMMINS HWY,42.270485,-71.101062,"(42.27048500, -71.10106200)"
444759,202030155,3301,VERBAL DISPUTE,B2,260,0,4/29/2020 17:57,2020,4,Wednesday,17,ROBIN HOOD ST,42.317652,-71.071211,"(42.31765200, -71.07121100)"
441004,202034178,1501,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,A1,76,0,5/17/2020 16:55,2020,5,Sunday,16,CANAL ST,42.364895,-71.060502,"(42.36489500, -71.06050200)"
434491,202041210,801,ASSAULT - SIMPLE,B3,465,0,6/13/2020 1:00,2020,6,Saturday,1,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
463158,202010382,3115,INVESTIGATE PERSON,B2,328,0,2/7/2020 14:30,2020,2,Friday,14,INTERVALE ST,42.310499,-71.077335,"(42.31049900, -71.07733500)"
464395,202009040,1402,VANDALISM,A15,41,0,1/31/2020 10:00,2020,1,Friday,10,VINE ST,42.376631,-71.055931,"(42.37663100, -71.05593100)"
439994,202035266,423,ASSAULT - AGGRAVATED,B2,614,0,5/22/2020 9:21,2020,5,Friday,9,LONGWOOD AVE,42.337441,-71.10428,"(42.33744100, -71.10428000)"
449747,202024849,3115,INVESTIGATE PERSON,E18,493,0,4/3/2020 16:16,2020,4,Friday,16,METROPOLITAN AVE,42.259901,-71.115363,"(42.25990100, -71.11536300)"
465393,202007967,3502,MISSING PERSON - LOCATED,D4,273,0,1/30/2020 0:52,2020,1,Thursday,0,SHAWMUT AVE,42.336022,-71.079967,"(42.33602200, -71.07996700)"
466556,202006691,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,77,0,1/25/2020 7:30,2020,1,Saturday,7,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
447406,202027341,3503,MISSING PERSON - NOT REPORTED - LOCATED,B2,265,0,4/15/2020 14:43,2020,4,Wednesday,14,PERRIN ST,42.322744,-71.07799,"(42.32274400, -71.07799000)"
453592,202020731,3301,VERBAL DISPUTE,B2,331,0,3/15/2020 19:49,2020,3,Sunday,19,DRAYTON AVE,42.312157,-71.070568,"(42.31215700, -71.07056800)"
434695,202040973,423,ASSAULT - AGGRAVATED,D14,754,0,5/31/2020 11:36,2020,5,Sunday,11,TREMONT ST,42.355942,-71.062583,"(42.35594200, -71.06258300)"
450714,202023809,3501,MISSING PERSON,A1,77,0,3/27/2020 11:00,2020,3,Friday,11,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
456905,202017178,3006,SICK/INJURED/MEDICAL - PERSON,A1,954,0,3/3/2020 9:06,2020,3,Tuesday,9,COMMERCIAL ST,42.362923,-71.051802,"(42.36292300, -71.05180200)"
429663,202046387,3114,INVESTIGATE PROPERTY,B2, ,1,7/1/2020 23:50,2020,7,Wednesday,23,INTERVALE ST,42.310178,-71.07651,"(42.31017800, -71.07651000)"
468221,202004874,3410,TOWED MOTOR VEHICLE,A15,900,0,1/18/2020 16:52,2020,1,Saturday,16,MEDFORD ST,42.379107,-71.055384,"(42.37910700, -71.05538400)"
437928,202037491,613,LARCENY SHOPLIFTING,B2,603,0,5/30/2020 19:51,2020,5,Saturday,19,TREMONT ST,42.333806,-71.103778,"(42.33380600, -71.10377800)"
462381,202011214,3108,FIRE REPORT,B2,901,0,2/10/2020 18:28,2020,2,Monday,18,MCGREEVEY WAY,42.33528,-71.098712,"(42.33528000, -71.09871200)"
470557,202002344,2610,TRESPASSING,D14,812,0,1/9/2020 18:14,2020,1,Thursday,18,WESTERN AVE,42.363121,-71.130563,"(42.36312100, -71.13056300)"
450078,202024490,3007,SUDDEN DEATH,A15,58,0,4/2/2020 0:22,2020,4,Thursday,0,W SCHOOL ST,42.375449,-71.067106,"(42.37544900, -71.06710600)"
470293,202002627,3205,M/V PLATES - LOST,C11,355,0,1/10/2020 20:39,2020,1,Friday,20,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
433711,202042044,1402,VANDALISM,D14,795,0,6/16/2020 10:12,2020,6,Tuesday,10,COMMONWEALTH AVE,42.349007,-71.138601,"(42.34900700, -71.13860100)"
467502,202005638,724,AUTO THEFT,A1,77,0,1/21/2020 17:09,2020,1,Tuesday,17,NEW SUDBURY ST,42.361838,-71.059764,"(42.36183800, -71.05976400)"
435337,202040265,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,6/5/2020 18:00,2020,6,Friday,18,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
433872,202041868,1402,VANDALISM,B2,282,0,6/15/2020 17:05,2020,6,Monday,17,WASHINGTON ST,42.328662,-71.085634,"(42.32866200, -71.08563400)"
459754,202014090,801,ASSAULT - SIMPLE,B2,294,0,2/21/2020 5:28,2020,2,Friday,5,SAINT JAMES ST,42.326264,-71.084514,"(42.32626400, -71.08451400)"
451255,202023234,616,LARCENY THEFT OF BICYCLE,A7,28,0,3/27/2020 7:15,2020,3,Friday,7,PARIS ST,42.370817,-71.03929,"(42.37081700, -71.03929000)"
431599,202044314,3001,DEATH INVESTIGATION,C11,373,0,6/24/2020 12:28,2020,6,Wednesday,12,WILLIAM T MORRISSEY BLVD,42.292583,-71.047762,"(42.29258300, -71.04776200)"
462899,202010655,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,288,0,2/8/2020 13:49,2020,2,Saturday,13,ROXBURY ST,42.32952,-71.085306,"(42.32952000, -71.08530600)"
434545,202041138,1107,FRAUD - IMPERSONATION,C11,347,0,5/19/2020 8:00,2020,5,Tuesday,8,LINDEN ST,42.305708,-71.060154,"(42.30570800, -71.06015400)"
433129,202042670,423,ASSAULT - AGGRAVATED,B2,316,1,6/18/2020 15:17,2020,6,Thursday,15,RUTHVEN ST,42.313023,-71.090735,"(42.31302300, -71.09073500)"
430976,202044989,3802,M/V ACCIDENT - PROPERTY DAMAGE,C11,402,0,6/26/2020 17:46,2020,6,Friday,17,ASHMONT ST,42.285197,-71.067751,"(42.28519700, -71.06775100)"
468664,202004398,261,SEX OFFENSE - RAPE -  OTHER,C6,913,0,1/16/2020 21:30,2020,1,Thursday,21,HARBOR POINT BLVD,42.319613,-71.041587,"(42.31961300, -71.04158700)"
467745,202005378,3007,SUDDEN DEATH,E13,578,0,1/20/2020 22:24,2020,1,Monday,22,FORBES ST,42.321182,-71.106827,"(42.32118200, -71.10682700)"
447271,202027484,619,LARCENY ALL OTHERS,C6,200,0,4/16/2020 9:00,2020,4,Thursday,9,W BROADWAY,42.341287,-71.054679,"(42.34128700, -71.05467900)"
440773,202034432,301,ROBBERY,B2,603,0,5/18/2020 17:11,2020,5,Monday,17,TREMONT ST,42.333806,-71.103778,"(42.33380600, -71.10377800)"
450716,202023807,3018,SICK/INJURED/MEDICAL - POLICE,D14,778,0,3/25/2020 16:00,2020,3,Wednesday,16,WASHINGTON ST,42.349055,-71.150498,"(42.34905500, -71.15049800)"
441513,202033632,3410,TOWED MOTOR VEHICLE,C11, ,0,5/15/2020 10:40,2020,5,Friday,10,FOX ST,42.306095,-71.064257,"(42.30609500, -71.06425700)"
436033,202039520,3301,VERBAL DISPUTE,C11,341,0,6/6/2020 23:25,2020,6,Saturday,23,STONEHURST ST,42.304443,-71.067786,"(42.30444300, -71.06778600)"
447067,202027696,900,ARSON,D4,133,0,4/17/2020 18:22,2020,4,Friday,18,NEWBURY ST,42.351761,-71.074521,"(42.35176100, -71.07452100)"
450293,202024264,3820,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,623,0,4/1/2020 7:16,2020,4,Wednesday,7,BEACON ST,42.348545,-71.097995,"(42.34854500, -71.09799500)"
439985,202035275,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,912,0,5/22/2020 10:00,2020,5,Friday,10,CENTRE ST,42.322874,-71.101553,"(42.32287400, -71.10155300)"
430907,202045060,301,ROBBERY,C11,397,0,6/26/2020 22:24,2020,6,Friday,22,TALBOT AVE,42.289354,-71.067673,"(42.28935400, -71.06767300)"
452236,202022182,801,ASSAULT - SIMPLE,C11,255,0,3/22/2020 13:31,2020,3,Sunday,13,DORCHESTER AVE,42.31091,-71.057674,"(42.31091000, -71.05767400)"
457739,202016283,801,ASSAULT - SIMPLE,D4,624,0,2/28/2020 22:03,2020,2,Friday,22,LANSDOWNE ST,42.347173,-71.096443,"(42.34717300, -71.09644300)"
454611,202019647,801,ASSAULT - SIMPLE,C11,352,0,3/11/2020 16:30,2020,3,Wednesday,16,GENEVA AVE,42.30007,-71.0658,"(42.30007000, -71.06580000)"
466619,202006623,3115,INVESTIGATE PERSON,C11,355,0,1/11/2020 10:30,2020,1,Saturday,10,GIBSON ST,42.297555,-71.059709,"(42.29755500, -71.05970900)"
440111,202035137,3301,VERBAL DISPUTE,B2,329,0,5/21/2020 18:14,2020,5,Thursday,18,BRUNSWICK ST,42.310899,-71.080076,"(42.31089900, -71.08007600)"
458423,202015527,613,LARCENY SHOPLIFTING,E18,521,0,2/26/2020 10:50,2020,2,Wednesday,10,RIVER ST,42.255926,-71.123172,"(42.25592600, -71.12317200)"
434986,202040642,423,ASSAULT - AGGRAVATED,D4,171,0,6/11/2020 11:00,2020,6,Thursday,11,ALBANY ST,42.334288,-71.072395,"(42.33428800, -71.07239500)"
432725,202043104,3301,VERBAL DISPUTE,B2,258,0,6/20/2020 6:02,2020,6,Saturday,6,BIRD ST,42.313499,-71.070236,"(42.31349900, -71.07023600)"
435801,202039763,1402,VANDALISM,C11,401,0,6/8/2020 4:54,2020,6,Monday,4,TALBOT AVE,42.287148,-71.06493,"(42.28714800, -71.06493000)"
456526,202017586,3108,FIRE REPORT,D14,795,0,3/4/2020 15:14,2020,3,Wednesday,15,CAMBRIDGE TER,42.35211,-71.1393,"(42.35211000, -71.13930000)"
439673,202035612,613,LARCENY SHOPLIFTING,E13,635,0,5/23/2020 13:37,2020,5,Saturday,13,CENTRE ST,42.319293,-71.111782,"(42.31929300, -71.11178200)"
442135,202032958,801,ASSAULT - SIMPLE,C6,914,0,5/12/2020 11:40,2020,5,Tuesday,11,DORCHESTER AVE,42.32743,-71.056903,"(42.32743000, -71.05690300)"
434756,202040909,3005,SICK ASSIST,A1,111,0,6/12/2020 1:14,2020,6,Friday,1,BOYLSTON ST,42.352311,-71.063705,"(42.35231100, -71.06370500)"
468509,202004567,3115,INVESTIGATE PERSON,D14,784,0,1/17/2020 17:26,2020,1,Friday,17,CAMBRIDGE ST,42.349962,-71.147625,"(42.34996200, -71.14762500)"
470521,202002381,301,ROBBERY,E5,712,0,1/9/2020 23:41,2020,1,Thursday,23,WASHINGTON ST,42.262049,-71.156358,"(42.26204900, -71.15635800)"
460012,202013816,613,LARCENY SHOPLIFTING,C11,370,0,2/20/2020 7:58,2020,2,Thursday,7,WILLIAM T MORRISSEY BLVD,42.297672,-71.04941,"(42.29767200, -71.04941000)"
436788,202038715,3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,6/3/2020 23:00,2020,6,Wednesday,23,BLUE HILL AVE,42.284825,-71.091373,"(42.28482500, -71.09137300)"
468695,202004364,801,ASSAULT - SIMPLE,B2,326,0,1/16/2020 20:00,2020,1,Thursday,20,LAWRENCE AVE,42.311611,-71.076256,"(42.31161100, -71.07625600)"
430723,202045258,2647,THREATS TO DO BODILY HARM,D4,905,0,6/27/2020 17:51,2020,6,Saturday,17,HARRISON ARCHWAYS,42.339812,-71.070656,"(42.33981200, -71.07065600)"
